업체(시설)명,인허가번호,업종코드,업종명,지도점검일자,점검기관,점검기관명,지도점검구분,처분대상여부,점검사항,점검결과,소재지도로명주소,소재지주소
서울대학교 병원,3.00E+17,22,폐수배출업소관리,20171108,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 연건동 28번지 
서울대학교 의과대학,3.00E+17,22,폐수배출업소관리,20171108,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 대학로 103 (연건동),서울특별시 종로구 연건동 28번지 
서울대학교병원 암센터,3.00E+17,22,폐수배출업소관리,20171108,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 대학로 101 (연건동 서울대학교 의과대학),서울특별시 종로구 연건동 28-21번지 
월드염색,3.00E+17,22,폐수배출업소관리,20171102,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 239-29번지 
정원염색,3.00E+17,22,폐수배출업소관리,20171102,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 32-5번지 1층 
종로염색,3.00E+17,22,폐수배출업소관리,20171102,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 효제동 197-1번지 
경희대학교 지구환경연구소,3.00E+17,22,폐수배출업소관리,20171025,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 율곡로 110 지하1층 (권농동 경희대 밝은사회 연구소),서울특별시 종로구 권농동 115-3번지 
깨끗한도금,3.00E+17,22,폐수배출업소관리,20171025,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로10가길 3 (봉익동),서울특별시 종로구 봉익동 14번지 
종로염색,3.00E+17,22,폐수배출업소관리,20171018,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 효제동 197-1번지 
아트섬유,3.00E+17,22,폐수배출업소관리,20171018,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 17 (종로5가),서울특별시 종로구 종로5가 459번지 1층 
성신염색,3.00E+17,22,폐수배출업소관리,20171018,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 21-5 (종로5가),서울특별시 종로구 종로5가 456-2번지 1층 
정원염색,3.00E+17,22,폐수배출업소관리,20171018,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 32-5번지 1층 
진영염색,3.00E+17,22,폐수배출업소관리,20171012,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 33-9번지 
태평양염색,3.00E+17,22,폐수배출업소관리,20171012,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 14 (종로5가),서울특별시 종로구 종로5가 444-3번지 1층 
종로염색,3.00E+17,22,폐수배출업소관리,20171012,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 효제동 197-1번지 
대신섬유,3.00E+17,22,폐수배출업소관리,20171012,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 율곡로30길 17-8 (종로6가),서울특별시 종로구 종로6가 32-1번지 
진영염색,3.00E+17,22,폐수배출업소관리,20170925,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 33-9번지 
정원염색,3.00E+17,22,폐수배출업소관리,20170925,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 32-5번지 1층 
종로염색,3.00E+17,22,폐수배출업소관리,20170925,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 효제동 197-1번지 
한국섬유,3.00E+17,22,폐수배출업소관리,20170913,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 20 (종로5가),서울특별시 종로구 종로5가 460-1번지 
진영염색,3.00E+17,22,폐수배출업소관리,20170913,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 33-9번지 
진영염색,3.00E+17,22,폐수배출업소관리,20170913,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 33-9번지 
반도염색,3.00E+17,22,폐수배출업소관리,20170913,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로 269-10 (종로6가),서울특별시 종로구 종로6가 97번지 
정원염색,3.00E+17,22,폐수배출업소관리,20170913,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 32-5번지 1층 
종로염색,3.00E+17,22,폐수배출업소관리,20170907,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 효제동 197-1번지 
블레스,3.00E+17,22,폐수배출업소관리,20170831,3000000,서울특별시 종로구,수시,N,무허가 폐수배출시설 점검,,서울특별시 종로구 율곡로10길 95-3 506호 (봉익동 스타빌딩),서울특별시 종로구 봉익동 7-1번지 
정원염색,3.00E+17,22,폐수배출업소관리,20170802,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 32-5번지 1층 
반도염색,3.00E+17,22,폐수배출업소관리,20170801,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로 269-10 (종로6가),서울특별시 종로구 종로6가 97번지 
아트섬유,3.00E+17,22,폐수배출업소관리,20170801,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 17 (종로5가),서울특별시 종로구 종로5가 459번지 1층 
진영염색,3.00E+17,22,폐수배출업소관리,20170725,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 33-9번지 
정원염색,3.00E+17,22,폐수배출업소관리,20170725,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 32-5번지 1층 
태평양염색,3.00E+17,22,폐수배출업소관리,20170725,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 14 (종로5가),서울특별시 종로구 종로5가 444-3번지 1층 
성신염색,3.00E+17,22,폐수배출업소관리,20170725,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 21-5 (종로5가),서울특별시 종로구 종로5가 456-2번지 1층 
월드염색,3.00E+17,22,폐수배출업소관리,20170713,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 239-29번지 
종로염색,3.00E+17,22,폐수배출업소관리,20170713,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 효제동 197-1번지 
원일문화사,3.00E+17,22,폐수배출업소관리,20170628,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 종로54길 9-2 (창신동),서울특별시 종로구 창신동 329-8번지 
동남문화사,3.00E+17,22,폐수배출업소관리,20170628,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,,서울특별시 종로구 창신동 330-24번지 
비젼애드커뮤니케이션,3.00E+17,22,폐수배출업소관리,20170628,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,,서울특별시 종로구 창신동 330-30번지 1층 
백양염색,3.00E+17,22,폐수배출업소관리,20170628,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 창신동 421-1번지 
민쥬얼리,3.00E+17,22,폐수배출업소관리,20170627,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 창경궁로16가길 3 4층 (연지동 주원빌딩),서울특별시 종로구 연지동 123번지 
제일기획,3.00E+17,22,폐수배출업소관리,20170627,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,,서울특별시 종로구 묘동 33번지 
케이와이쥬얼리,3.00E+17,22,폐수배출업소관리,20170627,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 창경궁로16길 36 4층 (연지동 육화빌딩),서울특별시 종로구 연지동 125번지 
창신사,3.00E+17,22,폐수배출업소관리,20170627,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,,서울특별시 종로구 묘동 78번지 
와이에이치이골드,3.00E+17,22,폐수배출업소관리,20170627,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로8길 10 2층 (묘동),서울특별시 종로구 묘동 35-1번지 
팔구사,3.00E+17,22,폐수배출업소관리,20170627,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 서순라길 89-26 3층 (권농동),서울특별시 종로구 권농동 186번지 
Bevince(베빈스),3.00E+17,22,폐수배출업소관리,20170627,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로5가길 15 402호 (돈의동 아성빌딩),서울특별시 종로구 돈의동 123번지 
미보,3.00E+17,22,폐수배출업소관리,20170627,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로 36-1 4층 3호 (묘동),서울특별시 종로구 묘동 70-1번지 
북악주유소,3.00E+17,22,폐수배출업소관리,20170622,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 평창동 103-1번지 
와이스미스,3.00E+17,22,폐수배출업소관리,20170621,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 창경궁로 131 4층 (인의동 온지빌딩),서울특별시 종로구 인의동 50-2번지 
명가메뉴팩처링,3.00E+17,22,폐수배출업소관리,20170621,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 창경궁로20길 4 2층 (원남동 명진빌딩),서울특별시 종로구 원남동 72-2번지 
라모,3.00E+17,22,폐수배출업소관리,20170621,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 창경궁로 135-3 2층 (원남동 명성빌딩),서울특별시 종로구 원남동 277번지 
제이에스쥬얼리,3.00E+17,22,폐수배출업소관리,20170621,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 창경궁로16가길 14 201호 (연지동 감자빌딩),서울특별시 종로구 연지동 105번지 
지온 공방,3.00E+17,22,폐수배출업소관리,20170621,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 김상옥로 1 2층 (인의동),서울특별시 종로구 인의동 19번지 
구도일주유소특종,3.00E+17,22,폐수배출업소관리,20170608,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 평창문화로 90 (평창동 특종주유소),서울특별시 종로구 평창동 198-1번지 
반도염색,3.00E+17,22,폐수배출업소관리,20170601,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로 269-10 (종로6가),서울특별시 종로구 종로6가 97번지 
신광염색,3.00E+17,22,폐수배출업소관리,20170601,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로5가 225-19번지 
골드마인,3.00E+17,22,폐수배출업소관리,20170531,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 율곡로8길 71 2층 (묘동 삼원빌딩),서울특별시 종로구 묘동 1번지 
(주)한국금거래소쓰리엠,3.00E+17,22,폐수배출업소관리,20170531,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로5가길 1 9층 (돈의동 피카디리플러스),서울특별시 종로구 돈의동 137번지 
골드스미스,3.00E+17,22,폐수배출업소관리,20170531,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 율곡로10길 95-7 (봉익동),서울특별시 종로구 봉익동 9-8번지 
새롬 수리방,3.00E+17,22,폐수배출업소관리,20170531,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6나길 28-5 지하층 1호 (봉익동 금정빌딩),서울특별시 종로구 봉익동 118-1번지 
혜화카프라자,3.00E+17,22,폐수배출업소관리,20170530,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 명륜1가 32-2번지 
한국섬유,3.00E+17,22,폐수배출업소관리,20170525,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 20 (종로5가),서울특별시 종로구 종로5가 460-1번지 
반도염색,3.00E+17,22,폐수배출업소관리,20170525,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로 269-10 (종로6가),서울특별시 종로구 종로6가 97번지 
종로염색,3.00E+17,22,폐수배출업소관리,20170525,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 효제동 197-1번지 
우리염색,3.00E+17,22,폐수배출업소관리,20170525,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 충신동 188-8번지 
선경섬유,3.00E+17,22,폐수배출업소관리,20170525,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 22 (종로5가),서울특별시 종로구 종로5가 460-2번지 
진흥염색,3.00E+17,22,폐수배출업소관리,20170525,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 21-1 (종로5가),서울특별시 종로구 종로5가 465번지 
월드염색,3.00E+17,22,폐수배출업소관리,20170518,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 239-29번지 
(주)두양,3.00E+17,22,폐수배출업소관리,20170518,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로6가 240-3번지 
장안기업,3.00E+17,22,폐수배출업소관리,20170517,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,,서울특별시 종로구 돈의동 1번지 
지엔에스,3.00E+17,22,폐수배출업소관리,20170517,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로11길 10 202호 (돈의동 보명빌딩),서울특별시 종로구 돈의동 50번지 
골드존,3.00E+17,22,폐수배출업소관리,20170517,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로11길 10 3층 301호 (돈의동),서울특별시 종로구 돈의동 50번지 
동광기업,3.00E+17,22,폐수배출업소관리,20170517,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,,서울특별시 종로구 익선동 166-29번지 
엠.제이주얼리,3.00E+17,22,폐수배출업소관리,20170516,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 김상옥로 10 4층 (연지동 대영빌딩),서울특별시 종로구 연지동 184번지 
유진염색,3.00E+17,22,폐수배출업소관리,20170419,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로 248-17 (종로5가),서울특별시 종로구 종로5가 248-2번지 
인디안염색사,3.00E+17,22,폐수배출업소관리,20170419,3000000,서울특별시 종로구,수시,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로5가 446번지 
성신염색,3.00E+17,22,폐수배출업소관리,20170413,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 21-5 (종로5가),서울특별시 종로구 종로5가 456-2번지 1층 
아트섬유,3.00E+17,22,폐수배출업소관리,20170413,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 17 (종로5가),서울특별시 종로구 종로5가 459번지 1층 
새하얀,3.00E+17,22,폐수배출업소관리,20170412,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로10가길 23 (봉익동),서울특별시 종로구 봉익동 11-14번지 
코디도금,3.00E+17,22,폐수배출업소관리,20170412,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 서순라길 7 (봉익동),서울특별시 종로구 봉익동 82번지 
삼화도금,3.00E+17,22,폐수배출업소관리,20170412,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 서순라길 17 (봉익동),서울특별시 종로구 봉익동 100번지 
비가Ⅱ,3.00E+17,22,폐수배출업소관리,20170412,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6나길 22-4 (봉익동),서울특별시 종로구 봉익동 109번지 성보빌딩 202호 
샤인,3.00E+17,22,폐수배출업소관리,20170412,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6길 17 (봉익동),서울특별시 종로구 봉익동 163번지 대광빌딩304 
만금사,3.00E+17,22,폐수배출업소관리,20170411,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6나길 10 (봉익동),서울특별시 종로구 봉익동 96-2번지 2층 
골드파트너,3.00E+17,22,폐수배출업소관리,20170411,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 서순라길 17-21 (봉익동),서울특별시 종로구 봉익동 38-9번지 
명성멕기,3.00E+17,22,폐수배출업소관리,20170411,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 서순라길 43-18 (봉익동),서울특별시 종로구 봉익동 38-19번지 
종로도금,3.00E+17,22,폐수배출업소관리,20170411,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6나길 9-3 (봉익동),서울특별시 종로구 봉익동 154번지 
이화사,3.00E+17,22,폐수배출업소관리,20170411,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6나길 7-3 (봉익동),서울특별시 종로구 봉익동 162번지 태일빌딩 2층 
금성멕기,3.00E+17,22,폐수배출업소관리,20170411,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6나길 10 (봉익동),서울특별시 종로구 봉익동 96-2번지 
반도염색,3.00E+17,22,폐수배출업소관리,20170406,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로 269-10 (종로6가),서울특별시 종로구 종로6가 97번지 
유진염색,3.00E+17,22,폐수배출업소관리,20170404,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로 248-17 (종로5가),서울특별시 종로구 종로5가 248-2번지 
태평양염색,3.00E+17,22,폐수배출업소관리,20170404,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로40나길 14 (종로5가),서울특별시 종로구 종로5가 444-3번지 1층 
골든벨,3.00E+17,22,폐수배출업소관리,20170403,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,,서울특별시 종로구 묘동 38번지 2층 
세화사,3.00E+17,22,폐수배출업소관리,20170403,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6가길 16 (봉익동),서울특별시 종로구 봉익동 141-1번지 
대성도금,3.00E+17,22,폐수배출업소관리,20170403,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6가길 8 (봉익동),서울특별시 종로구 봉익동 153번지 
깨끗한도금,3.00E+17,22,폐수배출업소관리,20170403,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로10가길 3 (봉익동),서울특별시 종로구 봉익동 14번지 
금미사,3.00E+17,22,폐수배출업소관리,20170403,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6가길 16 (봉익동),서울특별시 종로구 봉익동 141-1번지 
수현도금,3.00E+17,22,폐수배출업소관리,20170321,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6나길 28 (봉익동),서울특별시 종로구 봉익동 117-2번지 영동빌딩 213호
한양도금,3.00E+17,22,폐수배출업소관리,20170314,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 서순라길 17-15 (봉익동),서울특별시 종로구 봉익동 116번지 
두리멕기,3.00E+17,22,폐수배출업소관리,20170314,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 서순라길 17-15 (봉익동),서울특별시 종로구 봉익동 116번지 종로빌딩 202호 
나라도금,3.00E+17,22,폐수배출업소관리,20170314,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6나길 28 (봉익동),서울특별시 종로구 봉익동 117-2번지 영동빌딩 308 
(주)티케쥬얼리,3.00E+17,22,폐수배출업소관리,20170314,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 창경궁로16길 36 3층 (연지동 육화빌딩),서울특별시 종로구 연지동 125번지 
인디안염색사,3.00E+17,22,폐수배출업소관리,20170307,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 종로5가 446번지 
유진염색,3.00E+17,22,폐수배출업소관리,20170222,3000000,서울특별시 종로구,수시,N,조업정지 이행여부 확인 등,,서울특별시 종로구 종로 248-17 (종로5가),서울특별시 종로구 종로5가 248-2번지 
태성도금,3.00E+17,22,폐수배출업소관리,20170209,3000000,서울특별시 종로구,수시,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 서순라길 89-4 2층 (권농동),서울특별시 종로구 권농동 188-2번지 
더원,3.00E+17,22,폐수배출업소관리,20170209,3000000,서울특별시 종로구,수시,N,발생폐수 적정보관 및 위탁여부,,,서울특별시 종로구 연지동 59번지 3층 
한성주얼리,3.00E+17,22,폐수배출업소관리,20170207,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 삼일대로32가길 27-2 1층 (익선동),서울특별시 종로구 익선동 38번지 
나르샤,3.00E+17,22,폐수배출업소관리,20170207,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로11가길 31 2층 (익선동),서울특별시 종로구 익선동 108번지 
PREMUS,3.00E+17,22,폐수배출업소관리,20170207,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 율곡로10길 95-3 (봉익동 스타빌딩),서울특별시 종로구 봉익동 7-1번지 
지케이쥬얼리,3.00E+17,22,폐수배출업소관리,20170202,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로 59 (묘동),서울특별시 종로구 묘동 148-1번지 
디컬러(DCOLOR),3.00E+17,22,폐수배출업소관리,20170202,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 돈화문로6나길 39 501호 (봉익동),서울특별시 종로구 봉익동 122번지 
리코 주얼리,3.00E+17,22,폐수배출업소관리,20170202,3000000,서울특별시 종로구,정기,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 종로 125 3층 301호 (종로3가),서울특별시 종로구 종로3가 18번지 
보람,3.00E+17,22,폐수배출업소관리,20170119,3000000,서울특별시 종로구,수시,N,발생폐수 적정보관 및 위탁여부,,서울특별시 종로구 서순라길 27-5 지하층 (봉익동 영보빌딩),서울특별시 종로구 봉익동 40-1번지 
서울대학교치과병원,3.00E+17,22,폐수배출업소관리,20170118,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 연건동 275-1번지 
유진염색,3.00E+17,22,폐수배출업소관리,20170117,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 종로 248-17 (종로5가),서울특별시 종로구 종로5가 248-2번지 
